pt Word	English verb	P(w->t)	P(w->a)	P(a->t)	E(t)	E(a)	V(t)	V(a)	S(t)	S(a)
rastejou	go	0	0	0	0	0	0	1	0	0
fobia	last	0	0	0	0	0	-1	-1	0	0
definhamento	collapse	0	0	0	-1	0	1	1	0	0
vingar	succeed	0	1	1	0	1	1	1	0	1
avaliava	think	0	0	1	1	1	1	1	1	0
chame	draw	0	0	1	1	1	1	0	0	0
hospitais	field	0	0	1	1	1	1	1	0	0
cimentando	cement	0	1	1	1	1	1	1	0	1
forçá-la	force	0	0	0	-1	0	1	0	-1	0
dotada	have	1	1	1	0	0	1	1	0	1
ameaçadoramente	be	0	1	0	0	0	0	1	0	1
pareceriam	be	0	1	0	0	0	0	1	0	1
dotado	have	1	1	1	0	0	1	1	0	1
forçá-lo	force	0	0	0	-1	0	1	0	-1	0
lapidar	stone	0	0	0	-1	0	1	1	0	1
saborear	enjoy	1	1	1	1	1	1	1	1	1
realçada	highlight	1	1	1	1	0	1	1	0	1
irrefutáveis	compel	0	1	1	0	0	1	0	0	0
aludidos	become	0	0	0	0	0	0	1	0	0
realçado	highlight	1	1	1	1	0	1	1	0	1
carnaval	respond	0	1	0	0	0	1	1	0	1
Solidarność	look	0	1	1	0	0	0	1	0	1
alcancemos	achieve	1	1	1	1	1	1	1	0	1
PTPE	write	1	1	1	1	1	1	1	0	1
escaparam	have	1	1	1	0	0	1	1	0	1
elogiarem	praise	1	1	1	1	1	1	1	1	1
vitimadas	fall	0	0	0	-1	-1	0	1	0	-1
Forneci-lhe	like	1	1	1	1	0	1	1	1	1
repetirei	repeat	0	1	0	1	0	1	1	0	0
ofício	trade	0	1	1	1	1	1	1	0	1
âmbito	field	0	0	1	1	1	1	1	0	0
sonha	dream	0	1	0	0	0	0	1	0	1
sonhe	dream	0	1	0	0	0	0	1	0	1
acertadas	correct	0	0	0	1	0	1	1	0	0
particulamente	have	1	1	1	0	0	1	1	0	1
sublinhá-lo	stress	0	0	1	1	0	1	1	0	0
subalternização	position	0	0	0	1	0	1	1	0	0
sonho	dream	0	1	0	0	0	0	1	0	1
tencionem	intend	0	0	0	1	0	1	1	0	1
adjudicada	contract	-1	0	-1	0	-1	-1	1	0	-1
ministérios	line	0	0	0	0	1	0	1	0	1
expandiu-se	have	1	1	1	0	0	1	1	0	1
169º	invoke	1	1	1	1	1	1	1	0	1
inconsequência	lack	0	0	0	0	-1	1	1	0	-1
furta-se	be	0	1	0	0	0	0	1	0	1
adjudicado	award	1	1	1	1	0	1	1	0	1
fermento	depress	0	-1	0	-1	0	1	0	-1	0
alertei	warn	0	1	0	1	0	1	1	0	0
Manzella	claim	1	1	1	0	1	1	1	0	1
fronteiriço	border	0	0	0	0	0	0	0	0	0
sancionado	sanction	0	-1	-1	-1	0	1	1	0	1
ecoam	echo	0	1	0	1	1	1	1	0	1
obterão	obtain	1	1	1	0	1	1	1	0	1
fronteiriça	border	0	0	0	0	0	0	0	0	0
estude	study	1	0	1	1	1	1	1	0	1
pontual	prompt	1	1	1	1	1	1	1	1	1
pontuam	appear	1	0	1	0	0	1	1	0	1
bombas-relógio	bomb	0	-1	0	-1	0	1	1	-1	0
colocando-a	make	0	0	0	1	0	0	1	0	0
terços	employ	1	1	1	1	1	1	1	0	1
artístico	study	1	0	1	1	1	1	1	0	1
norte	be	0	1	0	0	0	0	1	0	1
arrogaram	claim	1	1	1	0	1	1	1	0	1
artística	smoke	0	0	1	-1	0	1	1	0	1
dissuasiva	evolve	0	0	1	1	1	0	1	0	1
colocando-o	put	1	1	1	0	1	1	1	0	1
peculiaridade	point	0	0	0	0	1	0	1	0	0
lugar	place	0	0	1	1	1	1	1	0	1
perpetuar-se	continue	1	1	1	1	1	0	1	0	1
investigaram	investigate	0	1	0	0	1	1	1	0	0
abriam	open	1	1	1	1	0	0	1	0	1
homossexual	man	0	0	0	0	0	1	1	0	1
declarava	state	0	1	1	1	0	1	1	0	0
#	head	1	0	1	1	1	1	1	0	1
principiaram	begin	1	1	1	1	0	1	1	0	1
debruçou	have	1	1	1	0	0	1	1	0	1
desregular	express	-1	0	0	0	1	0	1	0	0
depreendi	understand	1	1	1	1	1	1	1	0	1
aconselhamento	counsel	1	1	0	1	0	1	1	0	1
preocuparam	have	1	1	1	0	0	1	1	0	1
alcançaram-se	be	0	1	0	0	0	0	1	0	1
class	truck	0	0	0	0	1	0	1	0	0
bascos	suffer	-1	1	-1	0	-1	-1	1	0	-1
GAFI	call	0	0	1	1	0	1	1	0	1
válvula	time	0	0	1	0	1	0	1	0	1
confusões	confuse	0	0	0	-1	0	1	1	-1	0
adaptar	adapt	0	1	1	1	1	1	1	0	1
realizou-se	hold	0	1	1	1	1	1	1	0	1
desleixa	perform	0	0	1	0	1	1	1	0	1
Por	be	0	1	0	0	0	0	1	0	1
ultima	last	0	0	0	0	0	-1	-1	0	0
agradecendo	thank	1	1	1	1	1	1	1	1	1
ignorado	ignore	0	-1	-1	-1	0	1	0	-1	0
contraposto	set	0	0	1	1	1	1	1	0	1
pesadas	weigh	0	0	0	0	0	0	1	0	0
restringe	restrict	0	0	-1	-1	0	1	1	0	1
miudinha	emerge	1	1	0	0	0	1	1	0	1
armações	trap	0	0	0	-1	0	0	0	-1	0
acompanhando	monitor	0	1	1	1	1	0	1	0	0
ignorada	ignore	0	-1	-1	-1	0	1	0	-1	0
presidirão	be	0	1	0	0	0	0	1	0	1
dispõem	have	1	1	1	0	0	1	1	0	1
IPPC	introduce	1	1	1	1	1	1	1	1	1
audaciosa	dare	1	1	1	0	1	1	1	0	1
evocando	evoke	1	0	0	1	0	1	1	0	0
renderão	surrender	0	-1	0	-1	-1	1	1	0	-1
planetário	enjoy	1	1	1	1	1	1	1	1	1
poupanças	save	1	1	1	1	0	1	1	1	1
terapias	seek	1	1	1	1	1	1	1	0	1
produzisse	produce	1	1	1	1	0	1	1	0	1
antipatias	dislike	1	-1	1	1	-1	1	1	0	-1
compará-lo	compare	0	0	0	0	0	1	1	0	0
aprisionar	imprison	0	-1	-1	-1	0	1	0	-1	0
compará-la	compare	0	0	0	0	0	1	1	0	0
enfatizaram	have	1	1	1	0	0	1	1	0	1
afectou-nos	affect	1	0	0	0	0	1	1	0	0
precauções	caution	1	1	1	1	0	1	1	-1	-1
apelará	call	0	0	1	1	0	1	1	0	1
colonizadores	rely	0	0	1	0	1	0	1	0	1
adaptou	have	1	1	1	0	0	1	1	0	1
asseguro-lhe	assure	1	1	1	1	1	1	1	1	1
acatarmos	last	0	0	0	0	0	-1	-1	0	0
suprimi-las	remove	-1	1	-1	-1	1	0	1	-1	0
agarra-se	be	0	1	0	0	0	0	1	0	1
sobrepusessem	be	0	1	0	0	0	0	1	0	1
ferroviárias	train	1	1	1	1	1	1	1	1	1
potenciado	be	0	1	0	0	0	0	1	0	1
concordantes	can	0	0	0	0	0	1	1	0	1
ultrajada	violate	0	-1	-1	-1	0	1	0	0	-1
atribuirmos	give	0	1	1	0	0	0	1	0	1
contraposta	increase	1	1	0	1	0	1	1	0	1
auferidos	receive	1	1	1	0	1	1	1	0	1
transferindo-a	shift	0	0	0	0	1	0	1	0	0
augúrios	place	0	0	1	1	1	1	1	0	1
Giuliani	control	1	0	1	0	1	1	1	0	1
telefonado	call	0	0	1	1	0	1	1	0	1
transferindo-o	transfer	0	0	0	0	0	1	1	0	0
protagonizou	have	1	1	1	0	0	1	1	0	1
exclusivo	preserve	1	1	1	1	0	1	1	0	1
benéfica	benefit	1	1	0	1	1	1	1	1	1
estigmatizar	condemn	0	0	-1	-1	0	1	1	0	0
conglomerados	congratulate	1	1	1	1	1	1	1	1	1
realçamos	stress	0	0	1	1	0	1	1	0	0
letrado	hold	0	1	1	1	1	1	1	0	1
procurarmos	seek	1	1	1	1	1	1	1	0	1
sufocantes	suffocate	0	-1	-1	-1	0	1	0	-1	0
públicos	state	0	1	1	1	0	1	1	0	0
contribui	contribute	1	1	1	1	1	1	1	0	1
trânsitos	stamp	0	0	0	0	0	1	1	0	1
chips	chip	0	0	0	0	1	1	1	0	1
contribuo	contribute	1	1	1	1	1	1	1	0	1
acertou	head	1	0	1	1	1	1	1	0	1
vencimento	pay	0	0	-1	0	0	-1	1	0	-1
atribuído	allocate	0	1	1	1	1	1	1	0	1
colaborante	need	0	1	1	0	0	1	1	0	0
promoviam	promote	1	1	1	1	1	1	1	0	1
fizeram-no	do	1	1	1	0	0	1	1	0	1
entreguem	hand	1	1	0	1	1	1	1	0	1
atribuída	give	0	1	1	0	0	0	1	0	1
fuzilaram	reckon	0	1	1	0	1	1	1	0	1
entreguei	have	1	1	1	0	0	1	1	0	1
compensem	compensate	0	0	0	1	0	1	1	1	0
retroactivos	back	1	1	1	1	1	1	1	1	1
entregues	hand	1	1	0	1	1	1	1	0	1
forçando-os	force	0	0	0	-1	0	1	0	-1	0
provoca	cause	-1	-1	0	0	0	-1	0	0	0
caucionando	support	1	1	1	1	0	1	1	1	1
restringir-nos	restrict	0	0	-1	-1	0	1	1	0	1
Akouri	allege	0	0	0	0	0	1	1	-1	0
arredado	exclude	0	0	-1	-1	0	1	1	0	0
congratulei	please	0	0	0	1	0	1	1	1	0
desmorona-se	down	0	0	0	0	0	0	1	0	0
protagonistas	lead	0	1	1	1	1	0	1	0	1
congratulem	please	0	0	0	1	0	1	1	1	0
penalizante	lower	-1	1	1	0	0	1	1	0	1
montão	range	0	0	0	0	0	0	0	0	0
dilúvio	flood	0	0	0	0	1	0	1	0	0
seita	be	0	1	0	0	0	0	1	0	1
prévia	advance	0	1	1	1	1	0	1	0	1
Wassenaar	contract	-1	0	-1	0	-1	-1	1	0	-1
contê-lo	contain	0	0	0	0	0	0	1	0	0
relocalizações	relocate	0	1	1	1	1	1	1	0	1
demita-se	down	0	0	0	0	0	0	1	0	0
Hirsch	report	0	0	-1	1	0	0	1	0	-1
reconquistarmos	regain	1	1	1	0	1	1	1	0	1
ajudássemos	help	1	1	0	1	0	1	1	1	0
adolescentes	perpetuate	1	1	1	1	1	1	1	0	1
bombons	consider	1	1	1	1	1	1	1	0	1
lastro	capsize	0	-1	0	-1	0	1	0	-1	0
Gebhardt	further	1	1	1	1	0	1	1	0	1
submeter-se	be	0	1	0	0	0	0	1	0	1
perfeita	perfect	1	1	1	1	1	1	1	0	1
albergues	can	0	0	0	0	0	1	1	0	1
perfeito	perfect	1	1	1	1	1	1	1	0	1
encarregou-me	have	1	1	1	0	0	1	1	0	1
redacção	word	0	1	0	0	0	0	1	0	0
pedir-vos-ei	ask	0	0	0	0	1	1	1	0	0
amolga	damage	1	-1	0	-1	0	1	-1	-1	0
pressões	pressure	0	0	0	-1	0	0	1	-1	0
planearam	plan	1	1	1	1	1	1	1	0	1
mostraria	show	1	1	1	0	1	0	1	0	0
derrocada	collapse	0	0	0	-1	0	1	1	0	0
selando	do	1	1	1	0	0	1	1	0	1
usemos	let	0	0	0	1	-1	0	1	0	0
relutantes	be	0	1	0	0	0	0	1	0	1
inadmissibilidade	declare	0	0	1	0	0	1	1	0	1
Indonésios	supply	0	0	1	1	1	1	1	0	1
mandámos	have	1	1	1	0	0	1	1	0	1
elucida	comment	0	0	0	0	0	1	1	0	1
processasse	be	0	1	0	0	0	0	1	0	1
combatem	fight	-1	0	-1	-1	0	0	1	0	-1
justificamos	justify	0	0	1	1	1	1	1	0	1
combateu	fight	-1	0	-1	-1	0	0	1	0	-1
pautámo-nos	be	0	1	0	0	0	0	1	0	1
combates	fight	-1	0	-1	-1	0	0	1	0	-1
combater	combat	0	0	0	-1	0	1	1	0	0
reprimem	repress	0	0	-1	-1	0	1	0	-1	0
falaram-nos	speak	1	1	1	1	1	1	1	0	1
desempenhada	carry	0	1	1	0	0	1	1	0	0
contribuí	contribute	1	1	1	1	1	1	1	0	1
contratarem	hire	1	1	1	1	1	1	1	1	1
interessa-nos	be	0	1	0	0	0	0	1	0	1
expiração	expire	0	1	0	0	1	0	1	0	1
analisámos	have	1	1	1	0	0	1	1	0	1
arrepio	counter	0	0	0	1	0	1	1	0	0
clientelismo	engage	0	0	0	1	1	1	1	0	1
diminuto	limit	0	0	0	-1	0	1	1	0	0
diminuta	be	0	1	0	0	0	0	1	0	1
cancele	cancel	0	0	-1	-1	0	1	1	0	0
Gil-Delgado	point	0	0	0	0	1	0	1	0	0
Transcaucásia	aspire	1	1	1	1	1	1	1	0	1
programadas	plan	1	1	1	1	1	1	1	0	1
encurralar	corner	0	0	-1	-1	1	1	1	0	0
usarão	speak	1	1	1	1	1	1	1	0	1
fortaleça	strengthen	1	1	0	1	0	1	1	1	0
organizacional	write	1	1	1	1	1	1	1	0	1
frutificar	bear	0	0	0	0	1	1	1	0	0
superavit	loom	0	0	0	0	1	1	1	0	1
sobrestimado	be	0	1	0	0	0	0	1	0	1
colocando	place	0	0	1	1	1	1	1	0	1
percentagens	figure	0	0	0	0	0	0	0	0	0
contrariamente	contrast	0	0	0	0	0	0	1	0	0
agradecerei	thank	1	1	1	1	1	1	1	1	1
deparar-se-ão	encounter	0	0	0	0	0	1	1	0	0
decorrerá	be	0	1	0	0	0	0	1	0	1
interface	be	0	1	0	0	0	0	1	0	1
utilizá-los	make	0	0	0	1	0	0	1	0	0
encerado	close	0	1	1	0	0	1	1	0	1
comete-se	make	0	0	0	1	0	0	1	0	0
custos-benefícios	benefit	1	1	0	1	1	1	1	1	1
opusemo-nos	oppose	0	0	-1	-1	0	1	1	0	-1
dispunha	have	1	1	1	0	0	1	1	0	1
contrafeitos	falsify	0	0	1	1	0	1	1	0	1
adendas	add	1	1	1	1	1	0	1	0	1
aditamentos	make	0	0	0	1	0	0	1	0	0
i.e.	be	0	1	0	0	0	0	1	0	1
Ministros	meet	0	1	1	1	1	1	1	0	1
afluência	hand	1	1	0	1	1	1	1	0	1
rejeitássemos	reject	0	0	-1	-1	0	1	1	0	0
morde-se	respect	1	1	1	1	0	1	1	1	1
Soares	support	1	1	1	1	0	1	1	1	1
pormenores	detail	0	0	0	1	0	0	1	0	0
substitutivas	be	0	1	0	0	0	0	1	0	1
esquecemonos	follow	0	0	1	1	1	1	1	0	1
Identificação	name	0	1	1	1	1	1	1	0	1
anulações	regard	1	1	1	1	1	1	1	1	1
goraram	have	1	1	1	0	0	1	1	0	1
Miss	contest	0	0	-1	0	0	1	1	0	-1
Quénia	give	0	1	1	0	0	0	1	0	1
litigiosas	dispute	0	0	-1	-1	-1	1	1	0	-1
decorativos	do	1	1	1	0	0	1	1	0	1
deixai-vos	like	1	1	1	1	0	1	1	1	1
subcomité	upgrade	0	0	0	1	1	1	1	0	1
ensombrada	overshadow	0	-1	0	-1	0	1	0	0	0
necessitados	need	0	1	1	0	0	1	1	0	0
acampamento	camp	0	0	1	0	1	1	1	0	1
acabasse	end	0	1	0	0	1	0	1	0	0
astros	be	0	1	0	0	0	0	1	0	1
ensombrado	overshadow	0	-1	0	-1	0	1	0	0	0
graduados	graduate	1	1	1	1	1	1	1	0	1
papéis	play	1	1	1	1	1	1	1	0	1
procuraríamos	look	0	1	1	0	0	0	1	0	1
beato	blind	0	0	-1	-1	0	1	1	0	0
verificadores	do	1	1	1	0	0	1	1	0	1
coxa	grip	0	0	0	0	0	1	1	0	0
sémen	term	1	1	0	1	1	1	0	0	0
21H00	resume	1	1	1	1	1	1	1	0	1
confirmastes	have	1	1	1	0	0	1	1	0	1
destrinçar	sort	0	0	0	1	0	1	1	0	0
desprezo	disregard	0	-1	-1	-1	-1	1	1	0	-1
é	be	0	1	0	0	0	0	1	0	1
pressioná-las	pressure	0	0	0	-1	0	0	1	-1	0
reservamo-nos	reserve	0	0	1	0	1	1	1	0	1
especificamente	target	0	0	0	1	0	0	0	0	0
prestando-se	open	1	1	1	1	0	0	1	0	1
redigiram	have	1	1	1	0	0	1	1	0	1
ouçamos	listen	0	1	1	1	0	0	1	0	1
inseguranças	take	1	1	1	0	1	1	1	0	1
escondia	be	0	1	0	0	0	0	1	0	1
CDS	down	0	0	0	0	0	0	1	0	0
experiências-piloto	pilot	0	1	0	1	1	1	1	0	1
virar-lhe	term	1	1	0	1	1	1	0	0	0
semblante	face	0	0	0	0	1	1	1	0	1
atingirão	be	0	1	0	0	0	0	1	0	1
estéticos	disseminate	1	1	1	1	0	1	1	0	1
privilegiará	benefit	1	1	0	1	1	1	1	1	1
torpezas	receive	1	1	1	0	1	1	1	0	1
hidra	strike	1	1	0	0	0	1	1	0	0
delineasse	outline	1	1	1	1	1	1	1	0	1
remir-se	amend	1	1	1	1	1	1	1	0	1
ousaria	dare	1	1	1	0	1	1	1	0	1
descolam	take	1	1	1	0	1	1	1	0	1
coagir	coerce	0	0	-1	-1	0	1	0	-1	0
reencaminhados	take	1	1	1	0	1	1	1	0	1
coroar	top	0	0	1	0	1	1	1	0	1
coroas	net	0	0	1	0	0	1	1	0	1
descolar	take	1	1	1	0	1	1	1	0	1
ambiciosa	challenge	0	1	-1	-1	1	1	1	-1	0
belíssima	view	0	0	0	1	0	1	1	0	0
Estado.Tudo	see	1	1	1	1	1	1	1	0	1
belíssimo	fine	0	1	1	1	1	1	1	1	1
realização	hold	0	1	1	1	1	1	1	0	1
comunicação	report	0	0	-1	1	0	0	1	0	-1
repatriamos	repatriate	0	0	-1	-1	0	1	1	-1	1
licenciadas	license	0	1	1	1	1	1	1	0	1
coabitação	live	1	1	1	1	1	1	1	0	1
pagando	pay	0	0	-1	0	0	-1	1	0	-1
combatendo-se	describe	0	0	0	1	0	0	1	0	1
víamos	see	1	1	1	1	1	1	1	0	1
méritos	merit	1	1	1	1	1	1	1	0	1
diante	forward	1	1	0	1	1	1	1	0	1
Bardong	explain	1	1	0	1	0	1	1	0	1
obtidos	obtain	1	1	1	0	1	1	1	0	1
aceitará	accept	1	1	1	1	1	1	1	0	1
observarmos	look	0	1	1	0	0	0	1	0	1
provação	suffer	-1	1	-1	0	-1	-1	1	0	-1
invistam	invest	1	1	1	1	1	1	1	1	1
ardor	give	0	1	1	0	0	0	1	0	1
liberdades	free	1	1	1	1	1	1	1	1	1
tranquilizar-nos	reassure	1	1	1	1	0	1	1	1	1
data-objectivo	date	0	0	1	0	1	0	1	0	1
Albaneses	devastate	1	-1	0	-1	0	1	-1	-1	0
trabalhadora	work	1	1	1	1	0	1	1	0	1
percebessem	show	1	1	1	0	1	0	1	0	0
sentarmos	sit	0	0	0	0	0	0	0	0	0
tentarei	try	0	1	1	0	1	1	1	0	0
deixar-vos	give	0	1	1	0	0	0	1	0	1
ocidentais	do	1	1	1	0	0	1	1	0	1
incentivo-os	encourage	1	1	1	1	0	1	1	1	1
colaborarmos	work	1	1	1	1	0	1	1	0	1
FINUL	try	0	1	1	0	1	1	1	0	0
exteriormente	prepare	1	1	1	1	1	1	1	1	1
afirmássemos	say	0	0	0	0	0	0	1	0	0
advir	be	0	1	0	0	0	0	1	0	1
100ºA	prevent	0	0	0	-1	0	1	1	-1	0
Manuel	submit	0	0	1	1	0	1	1	0	0
redobradas	appear	1	0	1	0	0	1	1	0	1
requererão	need	0	1	1	0	0	1	1	0	0
adaptações	change	0	1	0	1	0	1	1	0	1
importar-se	care	1	1	1	1	0	1	1	0	1
poderia	can	0	0	0	0	0	1	1	0	1
promovê-los	promote	1	1	1	1	1	1	1	0	1
estranhamente	be	0	1	0	0	0	0	1	0	1
poderio	power	1	0	0	0	0	0	1	0	1
aparte	separate	0	0	0	-1	0	1	1	-1	0
contentássemos	restrict	0	0	-1	-1	0	1	1	0	1
prospecto	sort	0	0	0	1	0	1	1	0	0
traçarem	draw	0	0	1	1	1	1	0	0	0
afectarmos	allocate	0	1	1	1	1	1	1	0	1
tombaram	fall	0	0	0	-1	-1	0	1	0	-1
disponibilizarão	provide	1	1	1	1	1	1	1	0	1
exporá	expose	0	0	0	0	0	1	0	0	0
atrelado	articulate	0	1	0	1	0	1	1	0	1
despendemos	spend	0	1	0	0	0	0	1	0	0
repreendeu	read	0	0	1	0	1	0	1	0	1
interditar	ban	0	-1	-1	-1	0	1	1	0	0
interditas	prohibit	0	0	-1	-1	0	0	1	0	0
mutilam	maim	0	-1	-1	-1	0	1	0	-1	0
repreender	reprimand	0	-1	-1	-1	0	1	1	-1	1
dignificará	credit	1	0	1	1	1	1	1	1	1
carris	track	-1	1	-1	-1	1	1	1	-1	1
mantivemos	have	1	1	1	0	0	1	1	0	1
interditam	ban	0	-1	-1	-1	0	1	1	0	0
Legislativa	engage	0	0	0	1	1	1	1	0	1
estratificação	bring	0	0	1	1	0	0	1	0	0
fiscalizasse	control	1	0	1	0	1	1	1	0	1
consola	console	0	0	0	1	1	1	1	0	1
pedi-lo	ask	0	0	0	0	1	1	1	0	0
medievais	oblige	1	1	1	1	0	1	1	1	0
discórdias	have	1	1	1	0	0	1	1	0	1
aparcar	park	0	0	0	0	0	1	1	0	1
naufragaram	number	0	0	0	1	0	0	1	0	0
associar-se-ão	associate	0	0	0	0	0	0	1	0	0
maquilhagem	face	0	0	0	0	1	1	1	0	1
amostragens	base	0	1	1	1	1	1	1	0	1
consolo	comfort	1	1	1	1	0	1	1	1	1
pedi-la	ask	0	0	0	0	1	1	1	0	0
esvaziou	have	1	1	1	0	0	1	1	0	1
preâmbulos	satisfy	1	1	0	1	0	1	1	1	1
afiguram-se-me	be	0	1	0	0	0	0	1	0	1
inoperante	do	1	1	1	0	0	1	1	0	1
dispositivo	measure	0	1	0	0	0	0	1	0	1
denunciando	denounce	-1	0	-1	-1	1	0	1	-1	-1
Estado-nação	state	0	1	1	1	0	1	1	0	0
Vizinhança	compare	0	0	0	0	0	1	1	0	0
Eis	be	0	1	0	0	0	0	1	0	1
preocupo-me	concern	1	-1	0	-1	0	1	1	-1	0
impor-se-ia	draw	0	0	1	1	1	1	0	0	0
instilar	inject	0	1	1	0	0	1	1	0	1
frieza	cool	0	0	0	1	0	1	1	0	1
enderecei	have	1	1	1	0	0	1	1	0	1
pedirem	ask	0	0	0	0	1	1	1	0	0
putativo	be	0	1	0	0	0	0	1	0	1
Paasilina	decide	1	1	1	1	0	1	1	0	1
pedirei	ask	0	0	0	0	1	1	1	0	0
projectará	have	1	1	1	0	0	1	1	0	1
sabe-se	know	1	1	1	0	1	1	1	0	1
lesadas	injure	1	-1	0	-1	0	1	1	-1	-1
incitaram	have	1	1	1	0	0	1	1	0	1
autorizámos	have	1	1	1	0	0	1	1	0	1
agradam-me	be	0	1	0	0	0	0	1	0	1
executaram	have	1	1	1	0	0	1	1	0	1
óbitos	sort	0	0	0	1	0	1	1	0	0
complementarem	complement	1	1	0	1	1	1	-1	0	0
inactiva	idle	0	0	0	-1	0	0	1	0	0
cairão	fall	0	0	0	-1	-1	0	1	0	-1
ajuizada	be	0	1	0	0	0	0	1	0	1
alérgenos	present	1	1	1	1	1	1	1	0	1
racista	race	0	0	0	0	1	1	1	0	1
repetindo	repeat	0	1	0	1	0	1	1	0	0
aplicaram-no	reimburse	1	1	1	1	1	1	1	0	1
Tomamos	take	1	1	1	0	1	1	1	0	1
tópicos	point	0	0	0	0	1	0	1	0	0
aeroportuários	point	0	0	0	0	1	0	1	0	0
ferindo	injure	1	-1	0	-1	0	1	1	-1	-1
desconcertado	baffle	0	-1	0	-1	0	1	0	-1	0
clamoroso	be	0	1	0	0	0	0	1	0	1
desígnios	design	1	1	1	1	1	1	1	0	1
socialista	appoint	1	1	1	1	1	1	1	1	1
travá-la	clamp	0	0	0	-1	0	1	0	0	0
reintegrado	reinstate	0	1	1	1	1	1	1	-1	1
estratagema	hand	1	1	0	1	1	1	1	0	1
promulgadas	enact	0	0	1	1	0	1	1	0	1
estarrecedor	devote	1	1	1	1	0	1	1	0	1
travá-lo	wage	0	1	1	1	1	1	1	0	1
loas	praise	1	1	1	1	1	1	1	1	1
Chiquita	put	1	1	1	0	1	1	1	0	1
clamorosa	cry	0	1	0	0	-1	0	1	0	-1
torço	bring	0	0	1	1	0	0	1	0	0
Kahn	do	1	1	1	0	0	1	1	0	1
Onesta	forward	1	1	0	1	1	1	1	0	1
encalço	pursue	0	1	1	0	0	1	1	0	1
auto-crítica	amount	0	0	0	1	0	0	1	0	0
confiantes	trust	1	1	1	1	1	1	1	1	1
penosos	be	0	1	0	0	0	0	1	0	1
causaram	cause	-1	-1	0	0	0	-1	0	0	0
12H00	report	0	0	-1	1	0	0	1	0	-1
aborde	address	1	1	0	1	1	1	1	0	1
questionarei	question	0	0	1	1	1	1	1	0	1
Sihanouk	seek	1	1	1	1	1	1	1	0	1
módulos	model	0	0	0	1	1	1	1	0	1
questionarem	question	0	0	1	1	1	1	1	0	1
karakiri	tell	1	1	0	1	0	1	1	0	0
metais	import	0	0	0	1	1	1	1	0	1
adaptassem	adapt	0	1	1	1	1	1	1	0	1
Alzheimer	write	1	1	1	1	1	1	1	0	1
emprestasse	lend	1	1	1	1	1	1	1	0	1
check-in	thank	1	1	1	1	1	1	1	1	1
reintegrar-se	return	0	0	0	0	0	1	1	0	0
precipitarmo-nos	rush	0	0	-1	-1	1	1	1	-1	0
encaminharam	be	0	1	0	0	0	0	1	0	1
avisaram	warn	0	1	0	1	0	1	1	0	0
investia	invest	1	1	1	1	1	1	1	1	1
definidor	define	0	0	0	1	1	1	1	0	0
amplificar	amplify	0	0	0	0	0	1	1	0	0
apontará	be	0	1	0	0	0	0	1	0	1
assinalará	mark	0	1	0	0	0	1	1	0	0
coordenadamente	coordinate	0	0	0	1	0	-1	0	0	0
divergimos	differ	1	0	0	0	1	1	1	0	0
investiu	have	1	1	1	0	0	1	1	0	1
ater-me	stick	0	0	0	0	-1	1	1	0	-1
ionizante	be	0	1	0	0	0	0	1	0	1
protelados	delay	-1	0	-1	-1	-1	0	1	0	-1
apresentar-vos-á	have	1	1	1	0	0	1	1	0	1
levará	lead	0	1	1	1	1	0	1	0	1
juntem	join	1	1	1	1	1	1	1	1	1
universo	range	0	0	0	0	0	0	0	0	0
somará	be	0	1	0	0	0	0	1	0	1
degradantes	degrade	0	-1	0	-1	0	1	-1	-1	0
assistenciais	resist	-1	0	-1	-1	1	1	1	-1	1
fanático	term	1	1	0	1	1	1	0	0	0
louvavelmente	deserve	1	1	1	0	1	1	1	0	1
zelasse	do	1	1	1	0	0	1	1	0	1
procedimental	involve	0	0	0	0	1	1	1	0	0
teimosia	reveal	0	0	0	1	0	1	1	0	0
esfumar	blur	0	0	0	-1	0	0	0	0	0
subido	rise	1	1	0	1	0	1	1	0	0
curiosamente	break	0	0	-1	-1	1	1	1	0	1
subida	rise	1	1	0	1	0	1	1	0	0
Simitis	handle	0	1	0	1	0	1	1	0	1
mandantes	sponsor	1	1	1	1	1	1	1	0	1
valorizaria	value	1	1	1	1	0	1	1	1	1
carregando-os	make	0	0	0	1	0	0	1	0	0
acelerando	speed	1	1	0	1	0	1	1	0	0
satisfaria	meet	0	1	1	1	1	1	1	0	1
molhado	be	0	1	0	0	0	0	1	0	1
patas	be	0	1	0	0	0	0	1	0	1
totalitária	grip	0	0	0	0	0	1	1	0	0
classificação	classify	0	0	0	1	0	1	1	0	0
exigimos	demand	0	0	1	1	0	1	1	0	1
exerça	exercise	1	1	1	1	1	1	1	0	1
proporcionando-lhes	provide	1	1	1	1	1	1	1	0	1
vingador	be	0	1	0	0	0	0	1	0	1
concordante	line	0	0	0	0	1	0	1	0	1
destroçadas	shatter	0	-1	0	-1	0	1	-1	0	0
exerço	have	1	1	1	0	0	1	1	0	1
alterássemos	change	0	1	0	1	0	1	1	0	1
saudar	welcome	1	1	1	1	1	1	1	1	1
avaliemos	evaluate	0	0	1	0	0	1	1	0	0
totalitário	police	0	0	0	-1	0	1	1	0	0
cambiarem	change	0	1	0	1	0	1	1	0	1
interpares	peer	0	1	0	0	1	1	1	0	1
vai	be	0	1	0	0	0	0	1	0	1
motivadoras	be	0	1	0	0	0	0	1	0	1
